Total: 28,5h (as of 23.6)

Date,       Weekday,    from  - to,     time delta
12.5.21,    Wed,        16:00 - 17:30,  1.5h
14.5.21,    Fri,        09:15 - 11:30,  2.25h
16.5.21,    So,         16:30 - 17:30,  1h
17.5.21,    Mo,         09:30 - 11:30,  2h
19.5.21,    Mi,         15:00 - 17:00,  2h
31.5.21,    Mo,         09:30 - 12:00   2.5h
01.6.21,    Di,         11:00 - 12:45,  1.75h
01.6.21,    Di,         14:45 - 16:45,  2h
09.06.21,   Mi,         09:30 - 11:30,  2h
09.06.21,   Mi,         12:00 - 14:00,  2h
09.06.21,   Mi,         15:00 - 17:00,  2h
14.06.21,   Mo,         09:00 - 12:00,  3h
23.06.21,   Mi,         10:30 - 15:00,  4,5h
28.06.21,   Mo,         11:30 - 13:30,  2h
